Shake Testing Results from Interface Testing												
Aug-13												
Data generation: Human's used spaceball to propose successful grasps												
"Hardware: WAM arm, Barrett hand"												
Grasp #	Point Arrangement	Triangle Size	Finger Extension	Finger Spread	Finger Limit	Perpendicular Symmetry	Parallel Symmetry	Skewness	Volume Object Enclosed	Wrench Space Volume	Epsilon	Energy
152	0.852019829	0.000357026	0.297433508	0.242	0.64616908	0.000159261	0.000102334	1.662306661	1.14E-05	0.000595	NaN	47.6832
153	0.668998087	8.45E-05	0.063318502	0.083	0.812751256	0.000138746	0.000115465	1.770985799	1.81E-06	0.000179	NaN	22.1262
154	0.828997706	0.000314975	0.065971502	1.571400165	0.748028245	0.000188689	0.000101803	2.564483892	2.51E-05	0.000215	NaN	45.1821
155	0.776752922	4.88E-05	0.212096007	1.419416863	0.698584109	0.000178441	0.000105426	2.470616986	2.74E-05	0.000374	NaN	38.2325
156	0.719811771	0.000240314	0.328952011	1.4934	0.922037652	0.000187479	0.000106202	3.026140946	2.45E-05	0.00051	NaN	28.3176
157	0.983696512	6.22E-06	0.383571511	1.8184	0.911851735	0.000167883	0.000109554	3.076109228	1.70E-06	0.000374	NaN	32.4526
158	0.873320517	3.19E-05	0.031320501	0	0.856465815	0.000158659	9.91E-05	1.652079479	6.27E-06	0.000117	NaN	40.3999
159	0.316505651	5.70E-05	0.109585504	0	1.357273376	0.000120301	0.000108155	1.392557463	2.06E-10	0.000134	NaN	45.1523
160	0.179345538	4.05E-06	0.106322004	0	1.197906224	0.000145828	0.000114344	1.571857191	9.85E-10	1.04E-05	NaN	37.9912
161	0.728242345	9.81E-05	0.146178505	0.0993	0.733598196	0.000156079	0.000113128	1.512680689	9.88E-06	0.000222	NaN	59.4621
162	0.924642351	3.54E-05	0.031230501	0.127	0.799170034	0.000149774	0.000100612	1.658384252	1.29E-05	0.000332	NaN	64.0511
163	0	0	0.212670507	0.193	1.184537209	0.000295	0.0004175	1.558622253	0	0	NaN	46.0915
164	0.649165554	6.01E-05	0.062862002	0.0935	0.933921221	0.000141574	0.000101369	1.721928904	9.21E-07	0.000176	NaN	48.8889
165	0.311387923	1.25E-05	0.034023501	0.0107	0.980606672	0.000115899	0.000109585	1.670844149	7.06E-09	6.91E-05	NaN	59.2612
166	0.13465139	1.44E-05	0.151296505	0	1.202786976	0.000135976	0.000109432	1.414938508	8.08E-10	6.66E-06	NaN	43.1941
167	0.397808345	2.74E-05	0.0028595	0	0.962781318	0.000119089	9.80E-05	1.560098114	2.26E-07	1.92E-05	NaN	58.4377
168	0.783577697	3.22E-05	0.128505505	0.0105	0.855829194	0.000169393	0.00010278	1.491360805	1.38E-06	0.000258	NaN	36.4826
169	0.621120991	0.000102254	0.087619502	0	0.945380377	0.000156505	8.46E-05	1.536935923	1.14E-05	8.12E-05	NaN	42.0257
170	0.144369456	1.71E-05	0.076663503	0	1.142095889	0.00014689	0.000109633	1.598478457	7.82E-10	2.22E-05	NaN	37.5541
171	0	0	0.382413512	0.169	1.110477107	0.000176523	0.000150465	1.586516251	7.11E-08	0	NaN	42.5105
172	0.648638478	0.000104742	0.038803501	0.07	0.718107115	0.000168186	0.00011658	1.628347989	2.70E-05	0.000257	NaN	52.3641
173	0	0	0.176751506	0.0915	1.027928742	0.000170986	0.000140963	1.67593845	3.21E-07	0.000614	NaN	36.9404
174	0.491884865	8.22E-05	1.057848534	0.0648	0.617945602	9.54E-05	0.000129916	1.611725273	3.07E-06	3.05E-05	0.00125	60.3695
175	0.961039422	0.000224685	0.181809506	1.575999767	0.733173783	0.000181076	0.000102296	1.50240734	8.02E-06	0.000986	NaN	47.363
176	0.703251562	5.96E-05	0.033174001	0.710676254	0.90718319	0.00015003	0.00011104	0.841389237	1.12E-05	3.72E-05	NaN	54.9902
